city,datetime,temperature,feels_like,humidity,weather,wind_speed,rain_3h
Le Havre,2026-06-25 00:00:00,24.07,24.18,63,overcast clouds,3.57,0.0
Le Havre,2026-06-25 03:00:00,23.84,24.06,68,broken clouds,3.64,0.0
Le Havre,2026-06-25 06:00:00,24.92,25.3,70,scattered clouds,4.61,0.0
Le Havre,2026-06-25 09:00:00,29.86,30.27,46,clear sky,4.3,0.0
Le Havre,2026-06-25 12:00:00,31.22,31.51,42,clear sky,1.21,0.0
Le Havre,2026-06-25 15:00:00,31.6,32.05,42,clear sky,2.92,0.0
Le Havre,2026-06-25 18:00:00,34.21,33.57,30,few clouds,7.07,0.0
Le Havre,2026-06-25 21:00:00,24.29,24.45,64,broken clouds,0.85,0.0
Le Havre,2026-06-26 00:00:00,22.43,22.56,70,light rain,4.32,0.73
Le Havre,2026-06-26 03:00:00,18.62,18.86,89,scattered clouds,4.84,0.0
Le Havre,2026-06-26 06:00:00,17.87,18.01,88,scattered clouds,4.79,0.0
Le Havre,2026-06-26 09:00:00,19.01,19.19,85,scattered clouds,3.26,0.0
Le Havre,2026-06-26 12:00:00,20.24,20.38,79,broken clouds,2.82,0.0
Le Havre,2026-06-26 15:00:00,20.2,20.29,77,broken clouds,6.37,0.0
Le Havre,2026-06-26 18:00:00,21.28,21.21,67,scattered clouds,5.7,0.0
Le Havre,2026-06-26 21:00:00,19.19,19.1,74,clear sky,3.85,0.0
Le Havre,2026-06-27 00:00:00,19.1,19.05,76,scattered clouds,1.97,0.0
Le Havre,2026-06-27 03:00:00,18.57,18.49,77,scattered clouds,2.74,0.0
Le Havre,2026-06-27 06:00:00,19.41,19.26,71,few clouds,1.91,0.0
Le Havre,2026-06-27 09:00:00,20.26,20.17,70,broken clouds,3.5,0.0
Le Havre,2026-06-27 12:00:00,20.57,20.64,75,broken clouds,5.34,0.0
Rouen,2026-06-22 15:00:00,35.35,37.26,38,clear sky,6.4,0.0
Rouen,2026-06-22 18:00:00,29.07,31.31,61,light rain,6.04,0.96
Rouen,2026-06-22 21:00:00,22.03,22.14,71,overcast clouds,4.23,0.0
Rouen,2026-06-23 00:00:00,21.53,21.98,86,overcast clouds,1.61,0.0
Rouen,2026-06-23 03:00:00,20.4,20.85,90,scattered clouds,2.23,0.0
Rouen,2026-06-23 06:00:00,27.24,29.56,73,scattered clouds,2.75,0.0
Rouen,2026-06-23 09:00:00,31.26,31.25,40,few clouds,3.33,0.0
Rouen,2026-06-23 12:00:00,35.72,34.49,24,scattered clouds,3.14,0.0
Rouen,2026-06-23 15:00:00,37.6,36.15,20,broken clouds,3.42,0.0
Rouen,2026-06-23 18:00:00,35.13,34.26,27,scattered clouds,2.09,0.0
Rouen,2026-06-23 21:00:00,27.23,27.26,44,light rain,3.85,0.17
Rouen,2026-06-24 00:00:00,23.94,23.85,56,overcast clouds,1.41,0.0
Rouen,2026-06-24 03:00:00,23.35,23.23,57,overcast clouds,2.17,0.0
Rouen,2026-06-24 06:00:00,29.05,29.85,51,overcast clouds,1.46,0.0
